ID,NameSubtext_lang,Description_lang,AuraDescription_lang
18933,Rank 2,,
18934,Rank 3,,
18935,Rank 4,,
18936,,,
18937,Rank 2,"Drains $s1 of your pet's Mana, returning 100% to you.",
18938,Rank 3,"Drains $s1 of your pet's Mana, returning 100% to you.",
18939,Rank 2,,
18940,Rank 3,,
18941,,Gives the caster $s1 extra $lattack:attacks;.,
18942,,Absorbs $s1 fire damage.  Lasts $d.,Absorbs $s1 fire damage.
18943,,Gives the caster $s1 extra $lattack:attacks;.,
18944,,"Smashes the ground, inflicting $s1 damage to nearby enemies.",
18945,,Inflicts normal damage plus $s1 to an enemy and knocks it back.,
18946,,Increases armor by $s1 for $d.,Increases armor by $s1.
18947,,,
18948,,,Strength reduced by $s1%.
18949,,,$s1 Nature damage inflicted every $t1 sec.
18950,,,
18951,,,
18952,,Opens the termite barrel placed in the Northridge Lumber Mill.,
18953,,,
18954,,,
18955,,,
18956,,Restores $s1 health every $t1 sec for $d.,Healing.
18957,,Restores $s1 health every $t1 sec for $d.,Healing.
18958,,Burns an enemy for $s1 damage and reduces its Fire resistance by $s2 for $d.,Fire resistance reduced by $s2.
18959,,,
18960,,Teleports the caster to the Moonglade.,
18967,,,
18968,,Surrounds an ally with a shield of flame that inflicts $11968s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.,Inflicting $11968s1 Fire damage to nearby enemies every $t1 sec.
18969,,,
18970,,,
18971,,,
18972,,Increases the time between an enemy's attacks by $s1% and slows its movement by $s2% for $d.,"Time between attacks increased by $s1%.
Movement speed reduced by $s2%."
18973,,,
18974,,"Apply near a Moonkin Stone to bring forth the stone's defender, Lunaclaw.",
18975,,"Summons an Ice Totem that lasts $d. and inflicts Frost damage to nearby enemies every $18978t1 sec., slowing their attacks and movement.",
18976,,"A Soulstone is used automatically upon death, restoring its owner to life at $s1% health and mana.",
18977,,,Time between attacks increased and slowed movement.
18978,,,
18979,,5% chance of dealing $18980s1 Nature damage on a successful melee attack.,
18980,Rank 1,Blasts the enemy for $s1 Nature damage.,
18983,,Heal yourself of $18984s1 damage when you kill a target.,
18984,Rank 1,Heal yourself of $s1 damage.,
18985,Rank 1,Increases your resistance to silence by $s1%.,
18986,,,
18987,,Place in the Darrowshire Town Square.,
18988,,,
18989,,Summons and dismisses a rideable gray kodo.,Increases speed by $s2%.
18990,,Summons and dismisses a rideable brown kodo.,Increases speed by $s2%.
18991,,Summons and dismisses a rideable green kodo.  This is a very fast mount.,Increases speed by $s2%.
18992,,Summons and dismisses a rideable teal kodo.  This is a very fast mount.,Increases speed by $s2%.
18993,,,
18994,,,
18995,Passive,,
18996,,Allows the player to ride a kodo.,
18997,,,
19007,,,
19027,,,
19028,,"When active, $18814s1% of all damage taken by the caster is taken by your Imp, Voidwalker, Succubus, Incubus, or Felhunter demon instead.  In addition, both the demon and master will inflict $25228s1% more damage.  Lasts as long as the demon is active.$?s435395[

Cannot be used while Metamorphosis is active.][]
",
19029,,Combine 7 pieces of Living Rot inside the mortar and grind away with the pestle. Leave standing to allow coagulation.,
19030,Shapeshift,"Shapeshifts into a bear for $d., increasing armor and hit points, as well as allowing the use of various bear abilities.","Shapeshifted into bear.
Armor and hit points increased."
19031,,,
19032,,,
19033,,,
19047,,,
19048,,,
19049,,,
19050,,,
19051,,,
19052,,,
19053,,,
19054,,,
19055,,,
19057,,"Permanently increase the armor value of an item worn on the chest, legs, hands or feet by 40.  Only usable on items level 35 and above.",
19058,,,
19059,,,
19060,,,
19061,,,
19062,,,
19063,,,
19064,,,
19065,,,
19066,,,
19067,,,
19068,,,
19069,,Plant in bright beams of light.,
19070,,,
19071,,,
19072,,,
19073,,,
19074,,,
19075,,,
19076,,,
19077,,,
19078,,,
19079,,,
19080,,,
19081,,,
19082,,,
19083,,,
19084,,,
19085,,,
19086,,,
19087,,,
19088,,,
19089,,,
19090,,,
19091,,,
19092,,,
19093,,,
19094,,,
19095,,,
19096,,,
19097,,,
19098,,,
19099,,"Calls down a blizzard that lasts $d., inflicting $s1 Frost damage every $t1 sec. to all enemies in the nearby area.",
19100,,,
19101,,,
19102,,,
19103,,,
19104,,,
19105,,,
19106,,,
19107,,,
19108,,,
19109,,,
19127,,,
19128,,"Inflicts $s2 damage to an enemy and its nearest allies, stunning them for $d. Affects up to $x1 targets.",Stunned.
19129,,"Causes a massive ground tremor, inflicting $s1 damage to nearby enemies and interrupts any spell being cast for $d..",
19130,,"Instantly counterattack an enemy for $s1 damage. Revenge must follow a block, dodge, or parry.",
19131,,"Charges an enemy, knocking it back and inflicting normal damage plus $s3.",
19132,,"Inflicts normal damage plus $s1 to an enemy, knocking it back.",
19133,,Inflicts Frost damage to an enemy and reduces its movement speed for $d.,Reduced movement speed.
19134,,"Shouts at an enemy, paralyzing it with terror for $d. and causing all other nearby enemies to flee in fear.",Intimidated.
19135,,Increases the Physical damage dealt by the caster by $s1% and enhances its armor by $s2% for $d.,"Physical damage dealt is increased by $s1%.
Armor increased by $s2%."
19136,,"Inflicts $s1 damage to an enemy, stunning it for $d.",Stunned.
19137,,Increases the time between nearby enemies' attacks by $s1% and slows their movement by $s2% for $d.,"Time between attacks increased by $s1%.
Movement speed reduced by $s2%."
19138,,"Apply near a Moonkin Stone to bring forth the stone's defender, Lunaclaw.",
19147,,,
19148,,,
19149,,Teaches you how to craft Heavy Scorpid Bracers.,
19150,,,
19151,Rank 1,Increases all damage caused against Humanoid targets by $s1% and increases critical damage caused against Humanoid targets by an additional $s2%.,
19152,Rank 2,Increases all damage caused against Humanoid targets by $s1% and increases critical damage caused against Humanoid targets by an additional $s2%.,
19153,Rank 3,Increases all damage caused against Humanoid targets by $s1% and increases critical damage caused against Humanoid targets by an additional $s2%.,
19156,,Teaches you how to craft Wicked Leather Gauntlets.,
19157,,Teaches you how to craft a Green Dragonscale Breastplate.,
19158,,Teaches you how to craft a Heavy Scorpid Vest.,
19159,Rank 1,Increases the critical strike chance of Raptor Strike and Mongoose Bite by $s1%.,
19160,Rank 2,Increases the critical strike chance of Raptor Strike and Mongoose Bite by $s1%.,
19161,,Teaches you how to craft Wicked Leather Bracers.,
19164,,Teaches you how to craft Chimeric Gloves.,
19166,,Teaches you how to craft a Red Dragonscale Breastplate.,
19167,,Teaches you how to craft Runic Leather Gauntlets.,
19168,Rank 1,Increases your Agility by $s1%.,
19169,,Teaches you how to craft Volcanic Leggings.,
19170,,Teaches you how to craft Green Dragonscale Leggings.,
19171,,Teaches you how to craft Living Shoulders.,
19172,,Teaches you how to craft Ironfeather Shoulders.,
19173,,Teaches you how to craft Chimeric Boots.,
19174,,Teaches you how to craft Heavy Scorpid Gauntlets.,
19175,,Teaches you how to craft Runic Leather Bracers.,
19176,,Teaches you how to craft Frostsaber Boots.,
19177,,Teaches you how to craft Stormshroud Pants.,
19178,,Teaches you how to craft a Warbear Harness.,
19179,Shapeshift,,
19180,Rank 2,Increases your Agility by $s1%.,
19181,Rank 3,Increases your Agility by $s1%.,
19184,Rank 1,"Gives your Immolation Trap, Frost Trap, and Explosive Trap a $h% chance to entrap the target, preventing them from moving for $19185d.",
19185,,,Immobile.
19186,,Teaches you how to craft a Heavy Scorpid Belt.,
19187,,Teaches you how to craft a Wicked Leather Headband.,
19188,,Teaches you how to craft a Runic Leather Belt.,
19189,,Teaches you how to craft Chimeric Leggings.,
19190,,Teaches you how to craft Frostsaber Leggings.,
19191,,Teaches you how to craft Heavy Scorpid Leggings.,
19192,,Teaches you how to craft a Volcanic Breastplate.,
19193,,Teaches you how to craft a Blue Dragonscale Breastplate.,
19194,,Gives the caster $s1 extra $lattack:attacks;.,
19195,,,
19196,,"Charges an enemy, inflicting $s3 damage to the target and any of its nearby allies, as well as knocking them all back.",
19197,,Teaches you how to craft Living Leggings.,
19198,,Teaches you how to craft Stormshroud Armor.,
19199,,Restores $s1 health and mana.,
19200,,Teaches you how to craft Warbear Woolies.,
19201,,Teaches you how to craft a Chimeric Vest.,
19202,,Teaches you how to craft a Runic Leather Headband.,
19203,,Teaches you how to craft Wicked Leather Pants.,
19204,,Teaches you how to craft Devilsaur Gauntlets.,
19205,,Teaches you how to craft a Black Dragonscale Breastplate.,
19206,,Teaches you how to craft an Ironfeather Breastplate.,
19207,,Teaches you how to craft Frostsaber Gloves.,
19208,,Teaches you how to craft a Heavy Scorpid Helm.,
19209,,Teaches you how to craft Blue Dragonscale Shoulders.,
19210,,Teaches you how to craft Stormshroud Shoulders.,
19211,,Teaches you how to craft Runic Leather Pants.,
19212,,Teaches you how to craft a Wicked Leather Belt.,
19213,,Teaches you how to craft an Onyxia Scale Cloak.,
19214,,Teaches you how to craft Black Dragonscale Shoulders.,
19215,,Teaches you how to craft a Living Breastplate.,
19216,,Teaches you how to craft a Devilsaur Leggings.,
19217,,Teaches you how to craft Wicked Leather Armor.,
19218,,Teaches you how to craft Heavy Scorpid Shoulders.,
19219,,Teaches you how to craft Volcanic Shoulders.,
19220,,Teaches you how to craft Runic Leather Armor.,
19221,,Teaches you how to craft Runic Leather Shoulders.,
19222,,Teaches you how to craft a Frostsaber Tunic.,
19223,,,
19224,,Teaches you how to craft an Onyxia Scale Breastplate.,
19225,,Teaches you how to craft Black Dragonscale Leggings.,
19226,,,
19227,,,
19228,Rank 1,Gives your Wing Clip ability a $h% chance to immobilize the target for $19229d.,
19229,,,Immobilized.
19230,,,
19231,,,
19232,Rank 2,Gives your Wing Clip ability a $h% chance to immobilize the target for $19229d.,
19233,Rank 3,Gives your Wing Clip ability a $h% chance to immobilize the target for $19229d.,
19234,Rank 4,Gives your Wing Clip ability a $h% chance to immobilize the target for $19229d.,
19235,Rank 5,Gives your Wing Clip ability a $h% chance to immobilize the target for $19229d.,
19236,Rank 2,Instantly heals the caster for $s1.,
19237,,,
19238,Rank 3,Instantly heals the caster for $s1.,
19239,Rank 1,Increases the duration of Freezing and Frost trap effects by $s1% and the damage of Immolation and Explosive trap effects by $s2%.,
19240,Rank 4,Instantly heals the caster for $s1.,
19241,Rank 5,Instantly heals the caster for $s1.,
19242,Rank 6,Instantly heals the caster for $s1.,
19243,Rank 7,Instantly heals the caster for $s1.,
19244,Rank 1,"Silences the enemy for $24259d.  If used on a casting target, it will counter the enemy's spellcast, preventing any spell from that school of magic from being cast for $d.",
19245,Rank 2,Increases the duration of Freezing and Frost trap effects by $s1% and the damage of Immolation and Explosive trap effects by $s2%.,
19249,Rank 2,,Physical damage done reduced by $s2.
19250,,Plants Smokey's Special Compound at a Mark of Detonation. KABOOM!,
19251,Rank 3,,Physical damage done reduced by $s2.
19252,Rank 4,,Physical damage done reduced by $s2.
19253,Rank 5,,Physical damage done reduced by $s2.
19254,Rank 6,,Physical damage done reduced by $s2.
19255,Rank 1,Increases total health by $s1%.,
19256,Rank 2,Increases total health by $s1%.,
19257,Rank 3,Increases total health by $s1%.,
19258,Rank 4,Increases total health by $s1%.,
19259,Rank 5,Increases total health by $s1%.,
19260,,Blasts a target for $s1 Frost damage.,
19261,Rank 2,The next melee attack against the caster will cause $19249s1 Shadow damage and reduce the damage caused by the attacker by $19249s2 for $19249d.,The next damaging melee attack against you will damage and weaken the target.
19262,Rank 3,The next melee attack against the caster will cause $19251s1 Shadow damage and reduce the damage caused by the attacker by $19251s2 for $19251d.,The next damaging melee attack against you will damage and weaken the target.
19263,,"When activated, increases your Dodge and Parry chance by $s1% for $d.",Dodge and Parry chance increased by $s1%.
19264,Rank 4,The next melee attack against the caster will cause $19252s1 Shadow damage and reduce the damage caused by the attacker by $19252s2 for $19252d.,The next damaging melee attack against you will damage and weaken the target.
19265,Rank 5,The next melee attack on the caster will cause $19253s1 Shadow damage and reduce the damage caused by the attacker by $19253s2 for $19253d.,The next damaging melee attack against you will damage and weaken the target.
19266,Rank 6,The next melee attack on the caster will cause $19254s1 Shadow damage and reduce the damage caused by the attacker by $19254s2 for $19254d.,The next damaging melee attack against you will damage and weaken the target.
19267,Rank 2,,
19268,Rank 3,,
19269,Rank 4,,
19270,Rank 5,,
19271,Rank 2,"The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $19267s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.","Anti-magic energy will burn $19267s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned."
19272,,Inflicts $s1 Fire damage to enemies in front of the caster.,
19273,Rank 3,"The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $19268s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.","Anti-magic energy will burn $19268s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned."
19274,Rank 4,"The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $19269s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.","Anti-magic energy will burn $19269s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned."
19275,Rank 5,"The priest becomes surrounded with anti-magic energy.  Any successful spell cast against the priest will burn $19270s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.  Lasts $d.","Anti-magic energy will burn $19270s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned."
19276,Rank 2,Afflicts the target with a disease that causes $o1 Shadow damage over $d.  Damage caused by the Devouring Plague heals the caster.,"Causes $s1 damage every $t1 seconds, healing the caster."
19277,Rank 3,Afflicts the target with a disease that causes $o1 Shadow damage over $d.  Damage caused by the Devouring Plague heals the caster.,"Causes $s1 damage every $t1 seconds, healing the caster."
19278,Rank 4,Afflicts the target with a disease that causes $o1 Shadow damage over $d.  Damage caused by the Devouring Plague heals the caster.,"Causes $s1 damage every $t1 seconds, healing the caster."
19279,Rank 5,Afflicts the target with a disease that causes $o1 Shadow damage over $d.  Damage caused by the Devouring Plague heals the caster.,"Causes $s1 damage every $t1 seconds, healing the caster."
19280,Rank 6,Afflicts the target with a disease that causes $o1 Shadow damage over $d.  Damage caused by the Devouring Plague heals the caster.,"Causes $s1 damage every $t1 seconds, healing the caster."
19281,Rank 2,"Weakens the target enemy, reducing damage caused by $s1 and reducing the effectiveness of any healing by $s2%.  Lasts $d.",Physical damage done reduced by $s1 and healing effectiveness reduced by $s2%.
19282,Rank 3,"Weakens the target enemy, reducing damage caused by $s1 and reducing the effectiveness of any healing by $s2%.  Lasts $d.",Physical damage done reduced by $s1 and healing effectiveness reduced by $s2%.
19283,Rank 4,"Weakens the target enemy, reducing damage caused by $s1 and reducing the effectiveness of any healing by $s2%.  Lasts $d.",Physical damage done reduced by $s1 and healing effectiveness reduced by $s2%.
19284,Rank 5,"Weakens the target enemy, reducing damage caused by $s1 and reducing the effectiveness of any healing by $s2%.  Lasts $d.",Physical damage done reduced by $s1 and healing effectiveness reduced by $s2%.
19285,Rank 6,"Weakens the target enemy, reducing damage caused by $s1 and reducing the effectiveness of any healing by $s2%.  Lasts $d.",Physical damage done reduced by $s1 and healing effectiveness reduced by $s2%.
19286,Rank 1,Reduces the chance your Feign Death ability will be resisted by $s1%.,
19287,Rank 2,Reduces the chance your Feign Death ability will be resisted by $s1%.,
19289,Rank 2,Reduces ranged damage taken by $s1 and increases chance to dodge by $s2% for $d.,Ranged damage taken reduced by $s1 and chance to dodge increased by $s2%.
19290,Rank 1,Increases hit chance by $s3% and increases the chance movement impairing effects will be resisted by an additional $s1%.,
19291,Rank 3,Reduces ranged damage taken by $s1 and increases chance to dodge by $s2% for $d.,Ranged damage taken reduced by $s1 and chance to dodge increased by $s2%.
19292,Rank 4,Reduces ranged damage taken by $s1 and increases chance to dodge by $s2% for $d.,Ranged damage taken reduced by $s1 and chance to dodge increased by $s2%.
19293,Rank 5,Reduces ranged damage taken by $s1 and increases chance to dodge by $s2% for $d.,Ranged damage taken reduced by $s1 and chance to dodge increased by $s2%.
19294,Rank 2,Increases hit chance by $s3% and increases the chance movement impairing effects will be resisted by an additional $s1%.,
19295,Rank 1,Increases your Parry chance by $s1%.,
19296,Rank 2,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19297,Rank 2,Increases your Parry chance by $s1%.,
19298,Rank 3,Increases your Parry chance by $s1%.,
19299,Rank 3,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19300,Rank 5,Increases your Parry chance by $s1%.,
19301,Rank 4,Increases your Parry chance by $s1%.,
19302,Rank 4,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19303,Rank 5,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19304,Rank 6,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19305,Rank 7,"Rains starshards down on the enemy target's head, causing $o1 Arcane damage over $d.",$o1 Arcane damage over $d.
19306,Rank 1,"A strike that becomes active after parrying an opponent's attack.  This attack deals $s1 damage and immobilizes the target for $d.  Counterattack cannot be blocked, dodged, or parried.",Immobile.
19307,,Deals damage and drains $s1 mana every second if you are not worthy.,Periodic health and mana loss.
19308,Rank 2,"The caster is surrounded by shadows.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $28378s1 Shadow damage.  Attackers can only be damaged once every few seconds.  This damage causes no threat.  $n charges.  Lasts $d.",Causes $s1 Shadow damage to attacker on hit.  This damage causes no threat.  $n charges.
19309,Rank 3,"The caster is surrounded by shadows.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $28379s1 Shadow damage.  Attackers can only be damaged once every few seconds.  This damage causes no threat.  $n charges.  Lasts $d.",Causes $s1 Shadow damage to attacker on hit.  This damage causes no threat.  $n charges.
19310,Rank 4,"The caster is surrounded by shadows.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $28380s1 Shadow damage.  Attackers can only be damaged once every few seconds.  This damage causes no threat.  $n charges.  Lasts $d.",Causes $s1 Shadow damage to attacker on hit.  This damage causes no threat.  $n charges.
19311,Rank 5,"The caster is surrounded by shadows.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $28381s1 Shadow damage.  Attackers can only be damaged once every few seconds.  This damage causes no threat.  $n charges.  Lasts $d.",Causes $s1 Shadow damage to attacker on hit.  This damage causes no threat.  $n charges.
19312,Rank 6,"The caster is surrounded by shadows.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $28382s1 Shadow damage.  Attackers can only be damaged once every few seconds.  This damage causes no threat.  $n charges.  Lasts $d.",Causes $s1 Shadow damage to attacker on hit.  This damage causes no threat.  $n charges.
19313,Rank 2,,
19314,Rank 3,,
19315,Rank 4,,
19316,Rank 5,,
19317,Rank 6,,
19318,Rank 1,,
19319,,"Bites an enemy, inflicting Physical damage.",
19320,Rank 2,,
19321,Rank 3,,
19322,Rank 4,,
19323,Rank 5,,
19324,Rank 6,,
19325,Rank 1,,
19326,Rank 2,,
19327,Rank 3,,
19328,Rank 4,,
19329,Rank 5,,
19330,Rank 6,,
19331,Rank 1,,
19332,Rank 2,,
19333,Rank 3,,
19334,Rank 4,,
19335,Rank 5,,
19336,Rank 6,,
19337,,,
19338,Rank 1,,
19339,Rank 2,,
19340,Rank 3,,
19341,Rank 4,,
19342,Rank 5,,
19343,Rank 6,,
19344,Rank 7,,
19345,Rank 1,,
19346,Rank 2,,
19347,Rank 3,,
19348,Rank 4,,
19349,Rank 5,,
19350,Rank 1,,
19351,Rank 2,,
19352,Rank 3,,
19353,Rank 4,,
19354,Rank 5,,
19355,Rank 6,,
19356,Rank 7,,
19357,Rank 1,,
19358,Rank 2,,
19359,Rank 3,,
19360,Rank 4,,
19361,Rank 5,,
19362,,,
19363,,Summons a mechanical yeti that will protect you for $d.,
19364,,"Stomps the ground, stunning nearby enemies for $d.",Stunned.
19365,,Reduces an enemy's casting speed by $s1% and increases the time between its attacks by $s2% for $d.,"Casting speed reduced by $s1%.
Time between attacks increased by $s2%."
19366,,Reduces the Fire resistance of nearby enemies by $s1 for $d.,Fire resistance reduced by $s1.
19367,,Reduces an enemy's maximum health by $s1% for $d.,Maximum health reduced by $s1%.
19368,,,
19369,,"Disorients nearby enemies, causing them to stop attacking their targets and wander around for $d.",Disoriented.
19370,Rank 1,Increases your critical strike chance with all attacks by $s1%.,
19371,Rank 2,Increases your critical strike chance with all attacks by $s1%.,
19372,,Reduces nearby enemies' Spirit by $s1% and their Intellect by $s2% for $d.,"Spirit reduced by $s1%.
Intellect reduced by $s2%."
19373,Rank 3,Increases your critical strike chance with all attacks by $s1%.,
19376,Rank 1,Decreases the chance enemies will resist trap effects by $s1%.,
19377,Rank 2,Decreases the chance enemies will resist trap effects by $s1%.,
19380,,+$s1 Attack Power when fighting Beasts.,
19381,Rank 1,Increases the damage you deal with melee weapons by $s1%.,
19382,Rank 2,Increases the damage you deal with melee weapons by $s1%.,
19383,Rank 3,Increases the damage you deal with melee weapons by $s1%.,
19384,Rank 4,Increases the damage you deal with melee weapons by $s1%.,
19385,Rank 5,Increases the damage you deal with melee weapons by $s1%.,
19386,Rank 1,"A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up, the Sting causes $24131o1 Nature damage over $24131d.  Only usable out of combat.  Only one Sting per Hunter can be active on the target at a time.",Asleep.
19387,Rank 2,"Gives your Immolation Trap, Frost Trap, and Explosive Trap a $h% chance to entrap the target, preventing them from moving for $19185d.",
19388,Rank 3,"Gives your Immolation Trap, Frost Trap, and Explosive Trap a $h% chance to entrap the target, preventing them from moving for $19185d.",
19389,Rank 4,"Gives your Immolation Trap, Frost Trap, and Explosive Trap a $h% chance to entrap the target, preventing them from moving for $19185d.",
19390,Rank 5,"Gives your Immolation Trap, Frost Trap, and Explosive Trap a $h% chance to entrap the target, preventing them from moving for $19185d.",
19391,,Inflicts Fire damage to an enemy.,
19392,,,
19393,,"Inflicts $o1 Fire damage to an enemy over $d, preventing it from casting spells and reducing the Physical damage it deals by $s3%.","$o1 Fire damage inflicted over $d.
Physical damage dealt is decreased by $s3%.
Silenced."
19394,,,
19395,,,
19396,,,Fire damage taken is increased by $s1.
19397,,,Fire damage taken is increased by $s1.
19407,Rank 1,Gives your Concussive Shot a $h% chance to stun the target for $19410d.,
19408,,"Panics nearby enemies, causing them to flee in fear for $d.",Fleeing in fear.
19409,,"When struck in combat has a 3% chance to encase the caster in bone, increasing armor by $18828s1 for $18828d.",
19410,,,Stunned.
19411,,"Throws a Lava Bomb at an enemy, inflicting $19428o1 Fire damage over $19428d.",
19412,Rank 2,Gives your Concussive Shot a $h% chance to stun the target for $19410d.,
19413,Rank 3,Gives your Concussive Shot a $h% chance to stun the target for $19410d.,
19414,Rank 4,Gives your Concussive Shot a $h% chance to stun the target for $19410d.,
19415,Rank 5,Gives your Concussive Shot a $h% chance to stun the target for $19410d.,
19416,Rank 1,"Reduces the Mana cost of your Shots$?s446374[, Strikes,][] and Stings by $s1%.",
19417,Rank 2,"Reduces the Mana cost of your Shots$?s446374[, Strikes,][] and Stings by $s1%.",
19418,Rank 3,"Reduces the Mana cost of your Shots$?s446374[, Strikes,][] and Stings by $s1%.",
19419,Rank 4,"Reduces the Mana cost of your Shots$?s446374[, Strikes,][] and Stings by $s1%.",
19420,Rank 5,"Reduces the Mana cost of your Shots$?s446374[, Strikes,][] and Stings by $s1%.",
19421,Rank 1,Increases the Ranged Attack Power bonus of your Hunter's Mark spell by $s1%.,
19422,Rank 2,Increases the Ranged Attack Power bonus of your Hunter's Mark spell by $s1%.,
19423,Rank 3,Increases the Ranged Attack Power bonus of your Hunter's Mark spell by $s1%.,
19424,Rank 4,Increases the Ranged Attack Power bonus of your Hunter's Mark spell by $s1%.,
19425,Rank 5,Increases the Ranged Attack Power bonus of your Hunter's Mark spell by $s1%.,
19426,Rank 1,Increases your critical strike chance $?s446374[][with ranged weapons] by $462658s1%.,
19427,Rank 2,Increases your critical strike chance $?s446374[][with ranged weapons] by $462657s1%.,
19428,,,$o1 Fire damage inflicted over $d.
19429,Rank 3,Increases your critical strike chance $?s446374[][with ranged weapons] by $462656s1%.,
19430,Rank 4,Increases your critical strike chance $?s446374[][with ranged weapons] by $462654s1%.,
19431,Rank 5,Increases your critical strike chance $?s446374[][with ranged weapons] by $462653s1%.,
19432,,,
19433,,,
19434,Rank 1,An aimed shot that increases ranged damage by $s1.,
19435,,,
19436,,,
19437,,,
19438,Rank 2,"Sacrifices the Voidwalker, giving its owner a shield that will absorb $s1 damage for $d.  While the shield holds, spellcasting will not be interrupted by damage.",Absorbs all damage.
19439,Rank 2,,
19440,Rank 3,"Sacrifices the Voidwalker, giving its owner a shield that will absorb $s1 damage for $d.  While the shield holds, spellcasting will not be interrupted by damage.",Absorbs all damage.
19441,Rank 4,"Sacrifices the Voidwalker, giving its owner a shield that will absorb $s1 damage for $d.  While the shield holds, spellcasting will not be interrupted by damage.",Absorbs all damage.
19442,Rank 5,"Sacrifices the Voidwalker, giving its owner a shield that will absorb $s1 damage for $d.  While the shield holds, spellcasting will not be interrupted by damage.",Absorbs all damage.
19443,Rank 6,"Sacrifices the Voidwalker, giving its owner a shield that will absorb $s1 damage for $d.  While the shield holds, spellcasting will not be interrupted by damage.",Absorbs all damage.
19444,Rank 3,,
19445,Rank 4,,
19446,Rank 5,,
19447,Rank 6,,
19448,,Inflicts Nature damage to an enemy every $t1 sec. for $d.,Nature damage inflicted every $t1 sec.
19449,,,
19450,,,$s2 Fire damage inflicted every $t2 sec.
19451,,,Attack speed increased by $s1%.
19452,,Inflicts Nature damage to an enemy.,
19453,,Lays $s1 $lHive'Zora Egg:Hive'Zora Eggs;. A Hive'Zora Wasp will hatch from $lthe:each; egg.,
19454,Rank 1,Reduces the cooldown of your Arcane Shot by $/1000;S1 sec.,
19455,Rank 2,Reduces the cooldown of your Arcane Shot by $/1000;S1 sec.,
19456,Rank 3,Reduces the cooldown of your Arcane Shot by $/1000;S1 sec.,
19457,Rank 4,Reduces the cooldown of your Arcane Shot by $/1000;S1 sec.,
19458,Rank 5,Reduces the cooldown of your Arcane Shot by $/1000;S1 sec.,
19459,,,
19460,,"Instantly lashes an enemy with dark magic, inflicting Shadow damage.",
19461,Rank 1,Increases the damage done by your Multi-Shot and Volley spells by $s1%.,
19462,Rank 2,Increases the damage done by your Multi-Shot and Volley spells by $s1%.,
19463,,Inflicts Nature damage to an enemy and reduces its armor for $d.,Reduced armor.
19464,Rank 1,Increases the damage done by your Serpent Sting by $s1%.,
19465,Rank 2,Increases the damage done by your Serpent Sting by $s1%.,
19466,Rank 3,Increases the damage done by your Serpent Sting by $s1%.,
19467,Rank 4,Increases the damage done by your Serpent Sting by $s1%.,
19468,Rank 5,Increases the damage done by your Serpent Sting by $s1%.,
19469,,Takes control of an enemy up to level $s1 and inflicts Nature damage every $t2 sec. for $d.,"Charmed.
Nature damage inflicted every $t2 sec."
19470,,Places gem in Naga statue,
19471,,"Charges at an enemy, knocking it back and inflicting normal damage plus $s3.",
19472,,Inflicts normal damage plus $s1 to an enemy.,
19473,,,
19474,Rank 1,Calls down a fiery rain to burn enemies in the area of effect for $o1 Fire damage over $d.,$s1 Fire damage every $t1 seconds.
19475,Rank 1,,
19476,Rank 1,"Dispels magic on the target, removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy.",
19477,Rank 1,,
19478,Rank 1,"Taints the Felhunter's blood for $d.  When the Felhunter is hit with a melee attack, the attacker will lose $19479s1 melee attack power for $19479d.  Stacks up to 5 times on a single target.",Drains $19479s1 melee attack power when hit.  Stacks up to 5 times.
19479,Rank 1,,Melee attack power reduced by $s1.
19480,,Increases the stealth detection of all party members within $a1 yds of the Felhunter.,Increases stealth detection.
19481,,,
19482,Rank 1,Causes $s2 damage and stuns all enemies within $a1 yards for $d.,Stunned.
